Date,TATAMOTORS.NS,HAL.NS,KPITTECH.NS,IDBI.NS,TATAPOWER.NS,SBIN.NS,PIDILITIND.NS,POLYCAB.NS,DMART.NS,INFY.NS
2023-08-31 00:00:00+05:30,599.1510620117188,1935.951904296875,1174.456787109375,58.8194580078125,243.97012329101562,552.0916137695312,2502.33154296875,5099.5732421875,3720.39990234375,1409.16552734375
2023-09-01 00:00:00+05:30,609.3197021484375,1956.5260009765625,1199.2261962890625,59.06536102294922,254.17286682128906,560.1563720703125,2485.666015625,5184.38330078125,3761.050048828125,1417.4117431640625
2023-09-04 00:00:00+05:30,607.12646484375,1968.686767578125,1176.8538818359375,63.83583450317383,257.9553527832031,566.057373046875,2462.384033203125,5194.6357421875,3755.75,1438.272705078125
2023-09-05 00:00:00+05:30,609.2698364257812,1962.03564453125,1164.5189208984375,68.99974822998047,257.2585754394531,563.5494384765625,2478.7509765625,5279.4453125,3776.89990234375,1451.8199462890625
2023-09-06 00:00:00+05:30,608.3726196289062,1980.2022705078125,1166.01708984375,68.95056915283203,256.3129577636719,561.0906982421875,2489.794921875,5269.4912109375,3796.800048828125,1450.396484375
2023-09-07 00:00:00+05:30,613.00830078125,2005.41748046875,1163.0706787109375,68.6554946899414,262.484375,569.4996948242188,2494.769775390625,5161.6376953125,3785.10009765625,1439.3524169921875
2023-09-08 00:00:00+05:30,625.3203125,2037.82958984375,1163.0706787109375,69.68827056884766,267.6106262207031,573.8271484375,2492.431884765625,5175.47412109375,3782.39990234375,1442.690185546875
2023-09-11 00:00:00+05:30,632.8969116210938,2026.4879150390625,1165.4178466796875,68.99974822998047,270.6465759277344,581.9410400390625,2511.03759765625,5124.359375,3810.75,1449.414794921875
2023-09-12 00:00:00+05:30,618.89013671875,1956.054443359375,1143.0452880859375,64.62271118164062,261.4889831542969,578.6463012695312,2474.721435546875,4919.75146484375,3753.25,1473.6134033203125
2023-09-13 00:00:00+05:30,623.9744873046875,1970.6971435546875,1136.0538330078125,66.58992004394531,263.77838134765625,586.6127319335938,2476.014892578125,5020.28857421875,3813.699951171875,1470.913818359375
2023-09-14 00:00:00+05:30,622.6784057617188,1964.6910400390625,1167.764892578125,67.81942749023438,263.8779296875,587.4486694335938,2470.691650390625,5144.26806640625,3808.050048828125,1479.356201171875
2023-09-15 00:00:00+05:30,632.2987670898438,1959.4544677734375,1168.2144775390625,68.45877075195312,262.7332458496094,588.9239501953125,2469.000244140625,5143.123046875,3796.0,1483.921142578125
2023-09-18 00:00:00+05:30,638.6790771484375,1977.2987060546875,1139.150146484375,71.36039733886719,264.3258361816406,593.989013671875,2495.51611328125,5111.7177734375,3797.89990234375,1464.4837646484375
2023-09-20 00:00:00+05:30,636.5357055664062,1981.765869140625,1127.41455078125,69.54072570800781,260.7922058105469,591.1859741210938,2486.611083984375,5263.36962890625,3729.39990234375,1462.962158203125
2023-09-21 00:00:00+05:30,625.1209106445312,1943.4716796875,1076.27734375,68.2128677368164,255.4668731689453,578.4496459960938,2500.192626953125,5197.9208984375,3686.949951171875,1474.2515869140625
2023-09-22 00:00:00+05:30,618.541259765625,1920.9122314453125,1072.43212890625,70.08171081542969,255.91481018066406,588.28466796875,2505.01806640625,5106.49169921875,3689.10009765625,1468.754150390625
2023-09-25 00:00:00+05:30,616.796630859375,1913.466796875,1049.9097900390625,69.63909912109375,255.71571350097656,584.2522583007812,2481.934814453125,5182.74072265625,3664.10009765625,1447.156982421875
2023-09-26 00:00:00+05:30,617.8931884765625,1921.48291015625,1085.266357421875,68.60630798339844,258.6521301269531,584.5965576171875,2489.1982421875,5115.5,3633.60009765625,1433.9041748046875
